20130930_055529_665  314 -79.94769504 40.43485445 3 PartlyCloudy
20130930_055529_665  318 -79.94745610 40.43498988 3 PartlyCloudy
20130930_055529_665  330 -79.94721900 40.43510784 3 PartlyCloudy
20130930_055529_665  340 -79.94701749 40.43518992 3 PartlyCloudy
20130930_055529_665  351 -79.94680017 40.43525761 3 PartlyCloudy
20130930_055529_665  370 -79.94641580 40.43531495 3 PartlyCloudy
20130930_055529_665  381 -79.94620413 40.43531886 3 PartlyCloudy
20130930_055529_665  393 -79.94600178 40.43531564 3 PartlyCloudy
20130930_055529_665  424 -79.94580041 40.43522249 3 PartlyCloudy
20130930_055529_665  439 -79.94577962 40.43500556 3 PartlyCloudy
20130930_055529_665  630 -79.94669187 40.43599973 3 PartlyCloudy
20130930_055701_960   34 -79.94832468 40.43580085 3 PartlyCloudy
20130930_055701_960   97 -79.94860576 40.43560153 3 PartlyCloudy
20130930_055701_960  299 -79.94842914 40.43479674 3 PartlyCloudy
20130930_055701_960  356 -79.94859984 40.43497535 3 PartlyCloudy
20130930_055701_960  408 -79.94871205 40.43519764 3 PartlyCloudy
20130930_055701_960  454 -79.94866297 40.43539773 3 PartlyCloudy
20130930_055701_960  479 -79.94860137 40.43551506 3 PartlyCloudy
20130930_055701_960  520 -79.94853978 40.43558933 3 PartlyCloudy
20130930_055701_960  527 -79.94840538 40.43570357 3 PartlyCloudy
20130930_055701_960  552 -79.94820111 40.43578541 3 PartlyCloudy
20130930_055701_960  572 -79.94800122 40.43583300 3 PartlyCloudy
20130930_055701_960  589 -79.94780923 40.43586748 3 PartlyCloudy
20130930_055701_960  605 -79.94760291 40.43590178 3 PartlyCloudy
20130930_055701_960  623 -79.94740773 40.43593431 3 PartlyCloudy
20130930_055701_960  640 -79.94721063 40.43596518 3 PartlyCloudy
20130930_055701_960  664 -79.94702130 40.43599243 3 PartlyCloudy
20130930_055701_960  682 -79.94680110 40.43603726 3 PartlyCloudy
20130930_055834_756    6 -79.94660064 40.43604730 3 PartlyCloudy
20130930_055834_756  155 -79.94600415 40.43480619 3 PartlyCloudy
20130930_102756_439  242 -79.94519838 40.43417756 1 MostlyCloudy
20130930_102756_439  301 -79.94639412 40.43399109 1 MostlyCloudy
20130930_102756_439  386 -79.94656571 40.43340413 1 MostlyCloudy
20130930_102756_439  435 -79.94598779 40.43300147 1 MostlyCloudy
20130930_102756_439  504 -79.94582408 40.43240009 1 MostlyCloudy
20130930_102756_439  534 -79.94654006 40.43229430 1 MostlyCloudy
20130930_102756_439  536 -79.94678594 40.43228686 1 MostlyCloudy
20130930_102756_439  543 -79.94699874 40.43224996 1 MostlyCloudy
20130930_102756_439  548 -79.94707316 40.43220725 1 MostlyCloudy
20130930_102932_381    8 -79.94717211 40.43041132 1 MostlyCloudy
20130930_102932_381   22 -79.94661045 40.42979300 1 MostlyCloudy
20130930_102932_381   48 -79.94621060 40.42983443 1 MostlyCloudy
20130930_102932_381   96 -79.94536009 40.43019366 1 MostlyCloudy
20130930_102932_381  104 -79.94521436 40.43026866 1 MostlyCloudy
20130930_102932_381  116 -79.94500564 40.43038626 1 MostlyCloudy
20130930_102932_381  128 -79.94480811 40.43050490 1 MostlyCloudy
20130930_102932_381  140 -79.94465775 40.43059602 1 MostlyCloudy
20130930_102932_381  156 -79.94440786 40.43075100 1 MostlyCloudy
20130930_102932_381  160 -79.94434335 40.43079148 1 MostlyCloudy
20130930_102932_381  168 -79.94421174 40.43087375 1 MostlyCloudy
20130930_102932_381  196 -79.94400177 40.43099842 1 MostlyCloudy
20130930_102932_381  202 -79.94385769 40.43108320 1 MostlyCloudy
20130930_102932_381  204 -79.94368492 40.43118574 1 MostlyCloudy
20130930_102932_381  205 -79.94362962 40.43121767 1 MostlyCloudy
20130930_102932_381  213 -79.94341820 40.43132679 1 MostlyCloudy
20130930_102932_381  229 -79.94326098 40.43139941 1 MostlyCloudy
20130930_102932_381  236 -79.94307424 40.43148605 1 MostlyCloudy
20130930_102932_381  240 -79.94285056 40.43159218 1 MostlyCloudy
20130930_102932_381  252 -79.94260417 40.43171854 1 MostlyCloudy
20130930_102932_381  259 -79.94246287 40.43179751 1 MostlyCloudy
20130930_102932_381  262 -79.94240232 40.43183232 1 MostlyCloudy
20130930_102932_381  284 -79.94223354 40.43195073 1 MostlyCloudy
20130930_102932_381  287 -79.94200897 40.43210911 1 MostlyCloudy
20130930_102932_381  291 -79.94190166 40.43218724 1 MostlyCloudy
20130930_102932_381  299 -79.94180407 40.43225888 1 MostlyCloudy
20130930_102932_381  330 -79.94166941 40.43234631 1 MostlyCloudy
20130930_102932_381  332 -79.94141589 40.43247454 1 MostlyCloudy
20130930_102932_381  333 -79.94127685 40.43252668 1 MostlyCloudy
20130930_102932_381  335 -79.94108900 40.43258917 1 MostlyCloudy
20130930_102932_381  336 -79.94102408 40.43261300 1 MostlyCloudy
20130930_102932_381  411 -79.94081627 40.43269698 1 MostlyCloudy
20130930_102932_381  413 -79.94062730 40.43278522 1 MostlyCloudy
20130930_102932_381  415 -79.94044845 40.43288818 1 MostlyCloudy
20130930_102932_381  417 -79.94030121 40.43298488 1 MostlyCloudy
20130930_102932_381  418 -79.94022985 40.43303160 1 MostlyCloudy
20130930_102932_381  420 -79.94007322 40.43310344 1 MostlyCloudy
20130930_102932_381  422 -79.93988689 40.43315520 1 MostlyCloudy
20130930_102932_381  425 -79.93960995 40.43317192 1 MostlyCloudy
20130930_102932_381  508 -79.93942300 40.43318502 1 MostlyCloudy
20130930_102932_381  510 -79.93924971 40.43322768 1 MostlyCloudy
20130930_102932_381  513 -79.93903040 40.43332773 1 MostlyCloudy
20130930_102932_381  514 -79.93897308 40.43336897 1 MostlyCloudy
20130930_102932_381  516 -79.93885057 40.43346402 1 MostlyCloudy
20130930_102932_381  518 -79.93867946 40.43357368 1 MostlyCloudy
20130930_102932_381  519 -79.93860601 40.43360602 1 MostlyCloudy
20130930_102932_381  521 -79.93843512 40.43363636 1 MostlyCloudy
20130930_102932_381  522 -79.93831438 40.43362325 1 MostlyCloudy
20130930_102932_381  523 -79.93821067 40.43358664 1 MostlyCloudy
20130930_102932_381  524 -79.93810614 40.43354340 1 MostlyCloudy
20130930_102932_381  528 -79.93786315 40.43340544 1 MostlyCloudy
20130930_102932_381  533 -79.93780034 40.43335119 1 MostlyCloudy
20130930_102932_381  555 -79.93764175 40.43320515 1 MostlyCloudy
20130930_102932_381  579 -79.93760135 40.43312854 1 MostlyCloudy
20130930_102932_381  583 -79.93754169 40.43301763 1 MostlyCloudy
20130930_102932_381  625 -79.93758300 40.43281677 1 MostlyCloudy
20130930_102932_381  638 -79.93779080 40.43273356 1 MostlyCloudy
20130930_102932_381  652 -79.93799534 40.43263256 1 MostlyCloudy
20130930_102932_381  658 -79.93805758 40.43260149 1 MostlyCloudy
20130930_102932_381  669 -79.93816130 40.43255238 1 MostlyCloudy
20130930_102932_381  674 -79.93838851 40.43244414 1 MostlyCloudy
20130930_102932_381  677 -79.93846015 40.43240511 1 MostlyCloudy
20130930_102932_381  684 -79.93858731 40.43232071 1 MostlyCloudy
20130930_102932_381  694 -79.93877280 40.43220420 1 MostlyCloudy
20130930_102932_381  701 -79.93890394 40.43212113 1 MostlyCloudy
20130930_103102_269    4 -79.93918037 40.43194773 1 MostlyCloudy
20130930_103102_269    6 -79.93936294 40.43182590 1 MostlyCloudy
20130930_103102_269   12 -79.93959361 40.43163959 1 MostlyCloudy
20130930_103102_269   29 -79.93974380 40.43140780 1 MostlyCloudy
20130930_103102_269   41 -79.93978906 40.43120476 1 MostlyCloudy
20130930_103102_269   51 -79.93980283 40.43102489 1 MostlyCloudy
